City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,sittwe,20.15,92.9,27.13,80,96,3.53,MM,1715032942
144,anadyr,64.75,177.4833,-4.72,93,0,2.0,RU,1715032942
145,berdigestyakh,62.0989,126.6992,4.7,95,100,5.07,RU,1715032942
146,tomatlan,19.9333,-105.25,29.58,44,100,3.89,MX,1715032943
147,mazara del vallo,37.6641,12.588,18.3,76,73,7.57,IT,1715032943
148,kirensk,57.7853,108.1119,9.42,71,100,4.47,RU,1715032943
149,margaret river,-33.95,115.0667,12.23,90,9,3.5,AU,1715032943
150,buka,40.8108,69.1986,21.27,40,50,1.58,UZ,1715032943
151,sillamae,59.3997,27.7547,2.31,58,100,3.03,EE,1715032745
152,tshela,-4.9833,12.9333,23.79,99,58,0.31,CD,1715032943
153,dyat'kovo,53.5978,34.3382,11.9,98,100,3.03,RU,1715032944
154,ust-nera,64.5667,143.2,1.94,86,39,2.38,RU,1715032944
155,portland,45.5234,-122.6762,14.77,78,87,2.68,US,1715032813
156,namibe,-15.1961,12.1522,22.92,71,1,2.61,AO,1715032944
157,vorgashor,67.5833,63.95,-18.44,100,80,2.93,RU,1715032944
158,atafu village,-8.5421,-172.5159,29.88,75,47,4.82,TK,1715032944
159,northam,51.0333,-4.2167,12.44,89,18,5.21,GB,1715032944
160,necochea,-38.5473,-58.7368,11.22,71,0,4.29,AR,1715032858
161,boguchany,58.3814,97.4531,3.25,76,11,3.58,RU,1715032945
162,uturoa,-16.7333,-151.4333,27.76,80,55,9.39,PF,1715032945
163,ushuaia,-54.8,-68.3,1.81,87,75,1.54,AR,1715032771
164,brewton,31.1052,-87.0722,31.46,54,70,4.94,US,1715032945
165,utrik,11.2278,169.8474,27.22,83,93,9.26,MH,1715032945
166,gadani,25.1185,66.7299,28.12,74,0,4.73,PK,1715032945
167,seward,40.907,-97.0989,20.06,88,100,6.26,US,1715032945
168,anar darah,32.7587,61.654,26.52,25,68,1.88,AF,1715032946
169,iskateley,67.6803,53.1512,-10.55,91,84,4.02,RU,1715032946
170,kozhevnikovo,56.2589,83.9714,1.96,73,0,2.24,RU,1715032946
171,tawau,4.2498,117.8871,24.07,100,36,1.93,MY,1715032946
172,harper,4.375,-7.7169,27.13,84,98,1.9,LR,1715032946
173,port blair,11.6667,92.75,27.02,94,20,1.03,IN,1715032946
174,masterton,-40.9597,175.6575,11.05,57,93,1.94,NZ,1715032946
175,kapa'a,22.0752,-159.319,27.99,79,57,4.02,US,1715032947
176,jackson,42.4165,-122.8345,13.93,62,100,0.0,US,1715032770
177,chonchi,-42.6128,-73.8092,5.07,98,100,1.55,CL,1715032947
178,labrador city,52.9463,-66.9114,6.95,70,75,5.14,CA,1715032811
179,fort bragg,35.139,-79.006,25.08,87,75,2.06,US,1715032947
180,pedernales,18.0384,-71.744,29.45,70,0,2.13,DO,1715032947
181,port saint john's,-31.6229,29.5448,23.22,47,0,3.05,ZA,1715032947
182,bubaque,11.2833,-15.8333,26.23,75,13,8.02,GW,1715032948
